rank,filename,video_id,margin_score,matched_prompt,blur_score,raw_positive_score
1,NEUTRAL_t87mgidAKsI_F164.jpg,t87mgidAKsI,0.0912,"a cigar being smoked, clearly visible",115.5,0.3132
2,NEUTRAL_vHg96kjiUeo_F169.jpg,vHg96kjiUeo,0.0868,a photo of a cigarette pack,395.5,0.3140
3,NEUTRAL_vHg96kjiUeo_F167.jpg,vHg96kjiUeo,0.0835,a photo of a cigarette pack,371.0,0.3110
4,NEUTRAL_t87mgidAKsI_F172.jpg,t87mgidAKsI,0.0823,"a cigar being smoked, clearly visible",132.4,0.3069
5,NEUTRAL_t87mgidAKsI_F171.jpg,t87mgidAKsI,0.0817,"a cigar being smoked, clearly visible",152.9,0.3063
6,NEUTRAL_vHg96kjiUeo_F170.jpg,vHg96kjiUeo,0.0816,a photo of a cigarette pack,400.1,0.3137
7,NEUTRAL_vHg96kjiUeo_F165.jpg,vHg96kjiUeo,0.0807,a photo of a cigarette pack,349.2,0.3144
8,NEUTRAL_t87mgidAKsI_F166.jpg,t87mgidAKsI,0.0800,"a cigar being smoked, clearly visible",103.2,0.3048
9,NEUTRAL_t87mgidAKsI_F144.jpg,t87mgidAKsI,0.0783,"a cigar being smoked, clearly visible",145.5,0.3048
10,NEUTRAL_vHg96kjiUeo_F161.jpg,vHg96kjiUeo,0.0772,a photo of a cigarette pack,291.0,0.3134
11,NEUTRAL_vHg96kjiUeo_F181.jpg,vHg96kjiUeo,0.0761,a photo of a cigarette pack,440.8,0.2985
12,NEUTRAL_t87mgidAKsI_F177.jpg,t87mgidAKsI,0.0754,a photo of a cigarette pack,227.8,0.3027
13,NEUTRAL_vHg96kjiUeo_F162.jpg,vHg96kjiUeo,0.0746,a photo of a cigarette pack,306.0,0.3090
14,NEUTRAL_vHg96kjiUeo_F177.jpg,vHg96kjiUeo,0.0743,a photo of a cigarette pack,449.8,0.2937
15,NEUTRAL_t87mgidAKsI_F165.jpg,t87mgidAKsI,0.0742,"a cigar being smoked, clearly visible",116.3,0.3112
16,NEUTRAL_vHg96kjiUeo_F163.jpg,vHg96kjiUeo,0.0727,a photo of a cigarette pack,322.3,0.3054
17,NEUTRAL_t87mgidAKsI_F064.jpg,t87mgidAKsI,0.0724,a photo of a cigarette pack,545.1,0.2881
18,NEUTRAL_t87mgidAKsI_F132.jpg,t87mgidAKsI,0.0724,"a vape or e-cigarette device, clearly visible",121.2,0.3076
19,NEUTRAL_t87mgidAKsI_F176.jpg,t87mgidAKsI,0.0697,a photo of a cigarette pack,230.1,0.2850
