rank,filename,video_id,margin_score,matched_prompt,blur_score,raw_positive_score
1,PREVENTIVE_qNBCiDWjtEA_F046.jpg,qNBCiDWjtEA,0.0610,"tobacco leaves or raw tobacco, clearly visible",542.6,0.2897
2,PREVENTIVE_qNBCiDWjtEA_F050.jpg,qNBCiDWjtEA,0.0610,"tobacco leaves or raw tobacco, clearly visible",1775.9,0.2843
3,PREVENTIVE_qNBCiDWjtEA_F176.jpg,qNBCiDWjtEA,0.0582,"a vape or e-cigarette device, clearly visible",1229.1,0.2776
4,PREVENTIVE_SC-3td5-pdY_F031.jpg,SC-3td5-pdY,0.0569,a photo of a cigarette pack,1344.6,0.2838
5,PREVENTIVE_qNBCiDWjtEA_F219.jpg,qNBCiDWjtEA,0.0565,"a person smoking a cigarette, cigarette clearly visible",1257.9,0.2601
6,PREVENTIVE_qNBCiDWjtEA_F047.jpg,qNBCiDWjtEA,0.0557,a pouch or sachet of gutka or pan masala with visible branding,876.6,0.2992
7,PREVENTIVE_qNBCiDWjtEA_F049.jpg,qNBCiDWjtEA,0.0545,"tobacco leaves or raw tobacco, clearly visible",1779.0,0.2856
8,PREVENTIVE_LVKLxfNguLw_F052.jpg,LVKLxfNguLw,0.0534,"a person smoking a cigarette, cigarette clearly visible",475.3,0.2961
9,PREVENTIVE_LVKLxfNguLw_F059.jpg,LVKLxfNguLw,0.0513,"a person smoking a cigarette, cigarette clearly visible",497.7,0.2846
10,PREVENTIVE_LVKLxfNguLw_F116.jpg,LVKLxfNguLw,0.0508,"a vape or e-cigarette device, clearly visible",1685.4,0.2466
11,PREVENTIVE_TX5r8OEXhEk_F031.jpg,TX5r8OEXhEk,0.0495,"a person smoking a cigarette, cigarette clearly visible",1444.2,0.2747
12,PREVENTIVE_qNBCiDWjtEA_F069.jpg,qNBCiDWjtEA,0.0487,a photo of a cigarette pack,252.9,0.2853
13,PREVENTIVE_qNBCiDWjtEA_F206.jpg,qNBCiDWjtEA,0.0479,"a vape or e-cigarette device, clearly visible",2267.2,0.2573
14,PREVENTIVE_qNBCiDWjtEA_F685.jpg,qNBCiDWjtEA,0.0474,"a vape or e-cigarette device, clearly visible",2515.9,0.2677
15,PREVENTIVE_qNBCiDWjtEA_F191.jpg,qNBCiDWjtEA,0.0470,"a vape or e-cigarette device, clearly visible",1965.5,0.2583
16,PREVENTIVE_qNBCiDWjtEA_F048.jpg,qNBCiDWjtEA,0.0468,a pouch or sachet of gutka or pan masala with visible branding,1419.9,0.2924
17,PREVENTIVE_wAH0z3cIAL0_F093.jpg,wAH0z3cIAL0,0.0464,a photo of a cigarette pack,147.6,0.2591
18,PREVENTIVE_7M7oRkAaujg_F020.jpg,7M7oRkAaujg,0.0442,"a person smoking a cigarette, cigarette clearly visible",177.9,0.2898
19,PREVENTIVE_qNBCiDWjtEA_F019.jpg,qNBCiDWjtEA,0.0439,"a vape or e-cigarette device, clearly visible",532.9,0.2626
20,PREVENTIVE_7M7oRkAaujg_F026.jpg,7M7oRkAaujg,0.0419,"a cigar being smoked, clearly visible",218.2,0.2761
21,PREVENTIVE_qNBCiDWjtEA_F224.jpg,qNBCiDWjtEA,0.0418,"a person smoking a cigarette, cigarette clearly visible",1353.3,0.2575
22,PREVENTIVE_qNBCiDWjtEA_F184.jpg,qNBCiDWjtEA,0.0415,"a person smoking a cigarette, cigarette clearly visible",2114.1,0.2708
23,PREVENTIVE_qNBCiDWjtEA_F247.jpg,qNBCiDWjtEA,0.0413,"a vape or e-cigarette device, clearly visible",1594.4,0.2618
24,PREVENTIVE_ZDTWVDRbgQc_F031.jpg,ZDTWVDRbgQc,0.0405,"workers manufacturing cigarettes or pan masala in a factory, product visible",275.3,0.2627
25,PREVENTIVE_qNBCiDWjtEA_F194.jpg,qNBCiDWjtEA,0.0403,"a person smoking a cigarette, cigarette clearly visible",1801.2,0.2581
26,PREVENTIVE_qNBCiDWjtEA_F214.jpg,qNBCiDWjtEA,0.0393,"a person smoking a cigarette, cigarette clearly visible",1072.2,0.2706
27,PREVENTIVE_qNBCiDWjtEA_F684.jpg,qNBCiDWjtEA,0.0392,"a vape or e-cigarette device, clearly visible",2307.4,0.2634
28,PREVENTIVE_qNBCiDWjtEA_F187.jpg,qNBCiDWjtEA,0.0390,"a vape or e-cigarette device, clearly visible",1909.5,0.2467
29,PREVENTIVE_qNBCiDWjtEA_F231.jpg,qNBCiDWjtEA,0.0386,"a vape or e-cigarette device, clearly visible",1507.2,0.2542
30,PREVENTIVE_uWimehBOIHM_F045.jpg,uWimehBOIHM,0.0385,"workers manufacturing cigarettes or pan masala in a factory, product visible",198.3,0.2608
31,PREVENTIVE_qNBCiDWjtEA_F183.jpg,qNBCiDWjtEA,0.0383,"a vape or e-cigarette device, clearly visible",1061.7,0.2656
32,PREVENTIVE_qNBCiDWjtEA_F205.jpg,qNBCiDWjtEA,0.0377,"a vape or e-cigarette device, clearly visible",1091.9,0.2470
