rank,filename,video_id,margin_score,matched_prompt,blur_score,raw_positive_score
1,PROMOTIONAL_AMK9MrKAXKw_F013.jpg,AMK9MrKAXKw,0.0997,a photo of a cigarette pack,260.4,0.3247
2,PROMOTIONAL_CeRs1uTREGg_F006.jpg,CeRs1uTREGg,0.0855,a pouch or sachet of gutka or pan masala with visible branding,708.2,0.2929
3,PROMOTIONAL_EAnIJkAsP14_F059.jpg,EAnIJkAsP14,0.0838,a pouch or sachet of gutka or pan masala with visible branding,156.8,0.3029
4,PROMOTIONAL_eXcoTo86OOw_F044.jpg,eXcoTo86OOw,0.0812,a photo of a cigarette pack,126.7,0.3029
5,PROMOTIONAL_CeRs1uTREGg_F004.jpg,CeRs1uTREGg,0.0801,a pouch or sachet of gutka or pan masala with visible branding,721.4,0.2938
6,PROMOTIONAL_oC9BCdJmuZc_F023.jpg,oC9BCdJmuZc,0.0793,a sachet of chewing tobacco with visible branding,204.0,0.3063
7,PROMOTIONAL_4rN1GAFrzi4_F034.jpg,4rN1GAFrzi4,0.0773,a photo of a cigarette pack,859.9,0.3053
8,PROMOTIONAL_iEGY45xE5io_F057.jpg,iEGY45xE5io,0.0758,a pouch or sachet of gutka or pan masala with visible branding,259.4,0.2930
9,PROMOTIONAL_H2qy5DVUOw8_F058.jpg,H2qy5DVUOw8,0.0747,a pouch or sachet of gutka or pan masala with visible branding,439.9,0.3230
10,PROMOTIONAL_AMK9MrKAXKw_F001.jpg,AMK9MrKAXKw,0.0732,a photo of a cigarette pack,460.6,0.2972
11,PROMOTIONAL_tvgJjsc0xUs_F036.jpg,tvgJjsc0xUs,0.0722,a pouch or sachet of gutka or pan masala with visible branding,773.6,0.2946
12,PROMOTIONAL_sxrCjmqRTz0_F052.jpg,sxrCjmqRTz0,0.0718,"a person smoking a cigarette, cigarette clearly visible",160.7,0.2996
13,PROMOTIONAL_4rN1GAFrzi4_F011.jpg,4rN1GAFrzi4,0.0716,a pouch or sachet of gutka or pan masala with visible branding,606.9,0.2992
14,PROMOTIONAL_tEQISjSXuiE_F025.jpg,tEQISjSXuiE,0.0712,"a cigar being smoked, clearly visible",142.3,0.3054
15,PROMOTIONAL_CeRs1uTREGg_F009.jpg,CeRs1uTREGg,0.0706,a pouch or sachet of gutka or pan masala with visible branding,1019.5,0.2770
16,PROMOTIONAL_tvgJjsc0xUs_F037.jpg,tvgJjsc0xUs,0.0702,a pouch or sachet of gutka or pan masala with visible branding,564.8,0.2966
17,PROMOTIONAL_OWDIGDyOhcI_F035.jpg,OWDIGDyOhcI,0.0694,"a person smoking a cigarette, cigarette clearly visible",133.8,0.2955
18,PROMOTIONAL_tEQISjSXuiE_F107.jpg,tEQISjSXuiE,0.0691,"a person smoking a cigarette, cigarette clearly visible",158.5,0.2986
19,PROMOTIONAL_kHlPI8FDYNg_F066.jpg,kHlPI8FDYNg,0.0686,a photo of a cigarette pack,498.5,0.3029
20,PROMOTIONAL_tEQISjSXuiE_F042.jpg,tEQISjSXuiE,0.0685,"a person smoking a cigarette, cigarette clearly visible",121.5,0.3180
21,PROMOTIONAL_NEkFNbY2ZJU_F057.jpg,NEkFNbY2ZJU,0.0685,a pouch or sachet of gutka or pan masala with visible branding,173.3,0.3167
22,PROMOTIONAL_tEQISjSXuiE_F023.jpg,tEQISjSXuiE,0.0684,"a cigar being smoked, clearly visible",144.9,0.3175
23,PROMOTIONAL_kHlPI8FDYNg_F019.jpg,kHlPI8FDYNg,0.0669,"a cigar being smoked, clearly visible",282.5,0.3115
24,PROMOTIONAL_-KtN-Sz1iMA_F028.jpg,-KtN-Sz1iMA,0.0667,a pouch or sachet of gutka or pan masala with visible branding,1884.1,0.2789
