model,filename,video_id,true_class,predicted_class,confidence
efficientnet_b0,Dataset_Split/test/Preventive/PREV001_F009.jpg,PREV001,Preventive,Promotional,0.915504
efficientnet_b0,Dataset_Split/test/Preventive/PREV001_F016.jpg,PREV001,Preventive,Promotional,0.952088
efficientnet_b0,Dataset_Split/test/Preventive/PREV001_F020.jpg,PREV001,Preventive,Promotional,0.985168
efficientnet_b0,Dataset_Split/test/Preventive/PREV001_F024.jpg,PREV001,Preventive,Promotional,0.668445
efficientnet_b0,Dataset_Split/test/Preventive/PREV001_F027.jpg,PREV001,Preventive,Promotional,0.951023
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_V_fSL4xlEdo_F030.jpg,V_fSL4xlEdo,Preventive,Promotional,0.531327
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_V_fSL4xlEdo_F035.jpg,V_fSL4xlEdo,Preventive,Promotional,0.826984
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_V_fSL4xlEdo_F044.jpg,V_fSL4xlEdo,Preventive,Promotional,0.802343
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_uWimehBOIHM_F027.jpg,uWimehBOIHM,Preventive,Promotional,0.748582
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_AkkChMJv4wA_F028.jpg,AkkChMJv4wA,Promotional,Preventive,0.904726
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_tvgJjsc0xUs_F036.jpg,tvgJjsc0xUs,Promotional,Preventive,0.971093
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_tvgJjsc0xUs_F037.jpg,tvgJjsc0xUs,Promotional,Preventive,0.973465
resnet50,Dataset_Split/test/Preventive/PREV001_F009.jpg,PREV001,Preventive,Promotional,0.942479
resnet50,Dataset_Split/test/Preventive/PREV001_F016.jpg,PREV001,Preventive,Promotional,0.832380
resnet50,Dataset_Split/test/Preventive/PREV001_F020.jpg,PREV001,Preventive,Promotional,0.828740
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_8WQQLDuEJMc_F015.jpg,8WQQLDuEJMc,Preventive,Promotional,0.740311
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_-IRKWvvlT-M_F005.jpg,-IRKWvvlT-M,Promotional,Preventive,0.664712
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_AkkChMJv4wA_F028.jpg,AkkChMJv4wA,Promotional,Preventive,0.655639
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_FnULv0U14UY_F036.jpg,FnULv0U14UY,Promotional,Preventive,0.965435
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_FnULv0U14UY_F037.jpg,FnULv0U14UY,Promotional,Preventive,0.793219
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_ZPkbtIBypb0_F213.jpg,ZPkbtIBypb0,Promotional,Preventive,0.862764
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_tvgJjsc0xUs_F036.jpg,tvgJjsc0xUs,Promotional,Preventive,0.512215
