video_id,filename,true_class,efficientnet_prediction,resnet50_prediction,manual_evidence
PREV004,Dataset_Split/test/Preventive/PREV004_F007.jpg,Preventive,Promotional,Promotional,insufficient_visual_context
PREV006,Dataset_Split/test/Preventive/PREV006_F008.jpg,Preventive,Promotional,Promotional,insufficient_visual_context
PREV006,Dataset_Split/test/Preventive/PREV006_F015.jpg,Preventive,Promotional,Promotional,insufficient_visual_context
mHBb67I9uT0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F004.jpg,Preventive,Promotional,Promotional,weak_class_signal
mHBb67I9uT0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F007.jpg,Preventive,Promotional,Promotional,weak_class_signal
mHBb67I9uT0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F015.jpg,Preventive,Promotional,Promotional,insufficient_visual_context
mHBb67I9uT0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F016.jpg,Preventive,Promotional,Promotional,insufficient_visual_context
mHBb67I9uT0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F017.jpg,Preventive,Promotional,Promotional,weak_class_signal
YU0COqQ9W-A,Dataset_Split/test/Promotional/PROMOTIONAL_YU0COqQ9W-A_F037.jpg,Promotional,Preventive,Preventive,insufficient_visual_context
Z4A8G6FzgSw,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F003.jpg,Promotional,Preventive,Preventive,weak_class_signal
Z4A8G6FzgSw,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F005.jpg,Promotional,Preventive,Preventive,weak_class_signal
Z4A8G6FzgSw,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F006.jpg,Promotional,Preventive,Preventive,weak_class_signal
Z4A8G6FzgSw,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F030.jpg,Promotional,Preventive,Preventive,insufficient_visual_context
