model,filename,video_id,true_class,predicted_class,confidence
efficientnet_b0,Dataset_Split/test/Preventive/PREV004_F007.jpg,PREV004,Preventive,Promotional,0.534872
efficientnet_b0,Dataset_Split/test/Preventive/PREV004_F033.jpg,PREV004,Preventive,Promotional,0.526700
efficientnet_b0,Dataset_Split/test/Preventive/PREV006_F008.jpg,PREV006,Preventive,Promotional,0.528011
efficientnet_b0,Dataset_Split/test/Preventive/PREV006_F015.jpg,PREV006,Preventive,Promotional,0.504630
efficientnet_b0,Dataset_Split/test/Preventive/PREV006_F029.jpg,PREV006,Preventive,Promotional,0.583249
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_V_fSL4xlEdo_F031.jpg,V_fSL4xlEdo,Preventive,Promotional,0.546901
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F004.jpg,mHBb67I9uT0,Preventive,Promotional,0.623930
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F007.jpg,mHBb67I9uT0,Preventive,Promotional,0.711775
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F015.jpg,mHBb67I9uT0,Preventive,Promotional,0.641007
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F016.jpg,mHBb67I9uT0,Preventive,Promotional,0.607029
efficientnet_b0,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F017.jpg,mHBb67I9uT0,Preventive,Promotional,0.535700
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_-KtN-Sz1iMA_F025.jpg,-KtN-Sz1iMA,Promotional,Preventive,0.508515
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_AkkChMJv4wA_F028.jpg,AkkChMJv4wA,Promotional,Preventive,0.583989
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_Bv2fH4WEW5w_F010.jpg,Bv2fH4WEW5w,Promotional,Preventive,0.515169
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_H2qy5DVUOw8_F057.jpg,H2qy5DVUOw8,Promotional,Preventive,0.564351
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_WxyusRiyLrA_F064.jpg,WxyusRiyLrA,Promotional,Preventive,0.662302
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_YU0COqQ9W-A_F037.jpg,YU0COqQ9W-A,Promotional,Preventive,0.526302
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F003.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.582122
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F005.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.544386
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F006.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.507800
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F030.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.796018
